model,operating_point,seed,mAP50,mAP50_95,precision,recall
YOLO11m,bull_fs100,42,0.727949124347615,0.42450263783415354,0.9533706449231584,0.7224207595942491
YOLO11m,bull_fs100,2024,0.7279288429177935,0.426778716778552,0.9525621513351197,0.7228582708251086
YOLO26m,bull_fs100,42,0.7286119139879872,0.438735906495623,0.949826671969965,0.7212130595162286
YOLO26m,bull_fs100,2024,0.7285983910367247,0.4393019443034681,0.9479469229628558,0.7225509784664538
YOLO26n,bull_fs100,42,0.7075755212674417,0.39255072403902924,0.9321753748808406,0.6914725621792341
YOLO26n,bull_fs100,2024,0.7075024470702114,0.3948993837184092,0.9257283577919977,0.693816250276124
YOLOv8m,bull_fs100,42,0.7274120589187392,0.4308615825213436,0.9448804069038287,0.7173672084436614
YOLOv8m,bull_fs100,2024,0.7263793696575702,0.4318638887533802,0.9538238520944226,0.7135482504879112
YOLO11m,bull_fs20,7,0.6889729998696559,0.26759126021429536,0.9141169971724172,0.6796288985392814
YOLO11m,bull_fs20,42,0.6783306056977831,0.24065942746528507,0.8997964089794088,0.6863403079352547
YOLO11m,bull_fs20,123,0.6864069651180527,0.24145592047142572,0.9006139196476438,0.6868772580365987
YOLO11m,bull_fs20,2024,0.6873370579081042,0.24500738718957282,0.9006970746278198,0.6879194630872483
YOLO11m,bull_fs20,2025,0.692685619708361,0.2664559625005204,0.9095619389905701,0.6928532811327536
YOLO26m,bull_fs20,7,0.691689118096092,0.33194248496040457,0.9224971422900722,0.6931131694699442
YOLO26m,bull_fs20,42,0.6908427936515384,0.32729276100620763,0.9195936234234425,0.6896960126332412
YOLO26m,bull_fs20,123,0.6914314875473513,0.3159218411960209,0.9146512198094242,0.6959674325745046
YOLO26m,bull_fs20,2024,0.6921324499326191,0.3271704488632391,0.9207645682107857,0.6927410689810866
YOLO26m,bull_fs20,2025,0.6927306355113274,0.3263805426257571,0.9216659559467935,0.6921083396377189
YOLO26n,bull_fs20,7,0.658807308591882,0.2758430460273952,0.8760018114439235,0.6596920647453612
YOLO26n,bull_fs20,42,0.6508355484890852,0.22983896385108532,0.8801676628797004,0.6490327674694039
YOLO26n,bull_fs20,123,0.6525191853638628,0.23619778031485716,0.8802840124178681,0.6502546937710002
YOLO26n,bull_fs20,2024,0.6531670485980408,0.23745231257735328,0.8824238517075107,0.6508093170153968
YOLO26n,bull_fs20,2025,0.6338153553895736,0.24994876898358123,0.8671431167105776,0.6421239636794315
YOLOv8m,bull_fs20,7,0.6924693824822232,0.29585175071152137,0.9163036491703117,0.6807352961230183
